================ Training Loss (Sun Apr 20 23:12:10 2025) ================
(epoch: 1, iters: 100, time: 0.049, data: 1.267) G_GAN: 2.164 G_L1: 59.316 D_i_real: 0.964 D_i_fake: 0.849 D_v_real: 1.336 D_v_fake: 1.319 C_label: 2.608 
(epoch: 1, iters: 200, time: 0.058, data: 0.192) G_GAN: 2.104 G_L1: 53.056 D_i_real: 0.999 D_i_fake: 0.796 D_v_real: 1.177 D_v_fake: 1.197 C_label: 2.608 
(epoch: 1, iters: 300, time: 0.052, data: 0.001) G_GAN: 2.114 G_L1: 45.032 D_i_real: 0.918 D_i_fake: 0.706 D_v_real: 1.042 D_v_fake: 1.038 C_label: 2.607 
(epoch: 1, iters: 400, time: 0.060, data: 0.000) G_GAN: 2.017 G_L1: 40.330 D_i_real: 0.761 D_i_fake: 0.695 D_v_real: 0.954 D_v_fake: 0.864 C_label: 2.608 
(epoch: 1, iters: 500, time: 0.051, data: 0.002) G_GAN: 1.967 G_L1: 43.232 D_i_real: 0.690 D_i_fake: 0.652 D_v_real: 0.832 D_v_fake: 0.875 C_label: 2.607 
(epoch: 1, iters: 600, time: 0.052, data: 0.001) G_GAN: 1.841 G_L1: 41.618 D_i_real: 0.622 D_i_fake: 0.649 D_v_real: 0.789 D_v_fake: 0.721 C_label: 2.608 
(epoch: 1, iters: 700, time: 0.051, data: 0.002) G_GAN: 1.361 G_L1: 38.140 D_i_real: 0.590 D_i_fake: 0.644 D_v_real: 0.794 D_v_fake: 0.811 C_label: 2.608 
(epoch: 1, iters: 800, time: 0.058, data: 0.001) G_GAN: 1.248 G_L1: 37.826 D_i_real: 0.535 D_i_fake: 0.637 D_v_real: 0.737 D_v_fake: 0.846 C_label: 2.608 
(epoch: 1, iters: 900, time: 0.051, data: 0.001) G_GAN: 1.352 G_L1: 44.397 D_i_real: 0.499 D_i_fake: 0.637 D_v_real: 0.740 D_v_fake: 0.721 C_label: 2.607 
(epoch: 1, iters: 1000, time: 0.050, data: 0.001) G_GAN: 1.160 G_L1: 37.856 D_i_real: 0.480 D_i_fake: 0.635 D_v_real: 0.695 D_v_fake: 0.671 C_label: 2.607 
(epoch: 2, iters: 100, time: 0.052, data: 0.360) G_GAN: 1.141 G_L1: 39.153 D_i_real: 0.451 D_i_fake: 0.634 D_v_real: 0.707 D_v_fake: 0.713 C_label: 2.608 
(epoch: 2, iters: 200, time: 0.060, data: 0.002) G_GAN: 1.060 G_L1: 33.912 D_i_real: 0.452 D_i_fake: 0.637 D_v_real: 0.682 D_v_fake: 0.651 C_label: 2.608 
(epoch: 2, iters: 300, time: 0.051, data: 0.003) G_GAN: 1.075 G_L1: 31.086 D_i_real: 0.440 D_i_fake: 0.638 D_v_real: 0.676 D_v_fake: 0.670 C_label: 2.609 
(epoch: 2, iters: 400, time: 0.051, data: 0.002) G_GAN: 1.139 G_L1: 30.112 D_i_real: 0.472 D_i_fake: 0.636 D_v_real: 0.662 D_v_fake: 0.645 C_label: 2.609 
(epoch: 2, iters: 500, time: 0.051, data: 0.002) G_GAN: 1.000 G_L1: 33.029 D_i_real: 0.431 D_i_fake: 0.631 D_v_real: 0.706 D_v_fake: 0.648 C_label: 2.607 
(epoch: 2, iters: 600, time: 0.059, data: 0.002) G_GAN: 0.948 G_L1: 37.348 D_i_real: 0.420 D_i_fake: 0.635 D_v_real: 0.665 D_v_fake: 0.658 C_label: 2.607 
(epoch: 2, iters: 700, time: 0.051, data: 0.001) G_GAN: 0.922 G_L1: 34.266 D_i_real: 0.418 D_i_fake: 0.631 D_v_real: 0.669 D_v_fake: 0.640 C_label: 2.607 
(epoch: 2, iters: 800, time: 0.051, data: 0.002) G_GAN: 0.944 G_L1: 29.900 D_i_real: 0.407 D_i_fake: 0.633 D_v_real: 0.653 D_v_fake: 0.644 C_label: 2.608 
(epoch: 2, iters: 900, time: 0.051, data: 0.002) G_GAN: 0.951 G_L1: 34.052 D_i_real: 0.403 D_i_fake: 0.630 D_v_real: 0.646 D_v_fake: 0.665 C_label: 2.608 
(epoch: 2, iters: 1000, time: 0.058, data: 0.002) G_GAN: 0.883 G_L1: 33.330 D_i_real: 0.395 D_i_fake: 0.631 D_v_real: 0.648 D_v_fake: 0.640 C_label: 2.608 
(epoch: 3, iters: 100, time: 0.051, data: 0.359) G_GAN: 0.925 G_L1: 32.636 D_i_real: 0.390 D_i_fake: 0.631 D_v_real: 0.643 D_v_fake: 0.636 C_label: 2.608 
(epoch: 3, iters: 200, time: 0.051, data: 0.002) G_GAN: 0.867 G_L1: 26.660 D_i_real: 0.388 D_i_fake: 0.630 D_v_real: 0.643 D_v_fake: 0.638 C_label: 2.608 
(epoch: 3, iters: 300, time: 0.051, data: 0.001) G_GAN: 0.872 G_L1: 29.578 D_i_real: 0.384 D_i_fake: 0.630 D_v_real: 0.640 D_v_fake: 0.633 C_label: 2.607 
(epoch: 3, iters: 400, time: 0.059, data: 0.001) G_GAN: 0.865 G_L1: 25.840 D_i_real: 0.382 D_i_fake: 0.630 D_v_real: 0.639 D_v_fake: 0.639 C_label: 2.607 
(epoch: 3, iters: 500, time: 0.051, data: 0.001) G_GAN: 0.846 G_L1: 31.113 D_i_real: 0.376 D_i_fake: 0.631 D_v_real: 0.637 D_v_fake: 0.631 C_label: 2.607 
(epoch: 3, iters: 600, time: 0.051, data: 0.002) G_GAN: 0.852 G_L1: 27.077 D_i_real: 0.376 D_i_fake: 0.630 D_v_real: 0.637 D_v_fake: 0.631 C_label: 2.608 
